Prepostion	Hindi	Punjabi	Telugu	Kannada	Tamil	Assamese	Gujarati	Odia	Marathi	Bengali	Malayalam	Examples
next to	बगल में					কাষত	પછીનું	 ପାଖରେ	बाजूला 	এর পরে	അടുത്തതായി	
past	 बाद					পিছত	પછી	ପରେ	नंतर 	পর	കഴിഞ്ഞ	
owing to	 कारण					কাৰণে	કારણે	 କାରଣ ରୁ	कारण 	কারণ	കാരണം	
as	 जैसा					নিচিনা	તરીકે	 ଭଳି	जसे 	এর মতো	പോലെ	
at	पर					ওপৰত	પર 	ଠାରେ	वर 	তে	ല്‍ 	
with respect to	सम्बन्ध में					তুলনাত	ને સંબંધિત	 ସମ୍ବନ୍ଧ ରେ	या संदर्भातील 	এর সম্বন্ধে	അതു സംബന്ധിച്ച് 	
in	में					ভিতৰত	માં	ରେ	मध्ये 	মধ্যে	അകത്ത്	
notwithstanding	 बावजूद					স্বত্তেও	તેમ છતાં	 ପରେ ବି	तरी सुद्धा 	তথাপি	ഉണ്ടെന്നിരുന്നാലും	
beyond	 बाहर					বাহিৰত	બહાર	 ବାହାରେ	बाहेर 	বাইরে	അതിനപ്പുറം	
opposite to	 सामने					সন্মুখত	વિરુદ્ધ	 ସାମନା ରେ	विरुद्ध 	সামনে	മുന്നില്‍ 	
close to	 पास					ওচৰত	નજીક	 ପାଖ ରେ	जवळ 	এর কাছে	അടുത്ത്	
in front of	सामने					সন্মুখত	સામે	 ସାମନା ରେ	च्या समोर 	এর সামনে	മുമ്പിൽ	
thanks to	बदौलत					জৰিয়তে	કારણે 	 ଦୟା ରୁ	या बदल्यात 	বদলে	നന്ദി	
for	लिए					কাৰণে	માટે	ପାଇଁ	साठी 	জন্য	വേണ്ടി 	
as if	जैसे की					যেন	જેમકે 	ଯେମିତି କି	जसे की 	যেন	പോലെ	
since	से					পৰা	થી 	ରୁ	पासून 	থেকে	മുതലുള്ള	
rather than	 बजाय					বৰঞ্চ	તેના કરતા	 ବଦଳ ରେ	त्या ऐवजी 	বরং	അതിലും കൂടുതൽ	
aside from	 अलावा					বাহিৰে	સિવાય	 ବଦଳ ରେ	तसेच 	এটা ছাড়া	അതല്ലാതെ	
per	का					প্ৰতি	પ્રતિ	ପ୍ରତି	याचे 	প্রতি	ഓരോ	
subsequent to	 बाद					পিচত	પછી 	 ପରେ	नंतर 	পরবর্তী	അതിനുശേഷം	
as opposed to	 मुकाबले					বিপৰিতে	વિરોધ માં	 ମୁକାବିଲା ରେ	च्या तुलनेत 	এর তুলনায়	എതിരെയുളള	
till	तक					লৈ	સુધી	ଯାଏଁ	पर्यंत 	পর্য্যন্ত 	വരെ	
behind	 पीछे					পিচত	પાછળ 	 ପଛ ରେ	मागे 	পিছনে	പിന്നിൽ	
up to	तक					লৈ	સુધી 	ଯାଏଁ	पर्यन्त 	পর্য্যন্ত 	 വരെ	
on top of	 ऊपर					ওপৰত	ઉપર 	 ଉପରେ	वर 	উপর	ന്‍റെ മുകളില്‍ 	
astride	 आर-पार					ইপাৰ সিপাৰ	આર પાર 	 ଏପଟେ-ସେପଟେ	च्या आर- पार 		അരികിൽ	
above	 ऊपर					ওপৰত	ઉપર 	 ଉପରେ	वर 	উপর	മുകളിൽ	
between	 बीच में					মাজত	વચમાં 	 ମଝିରେ	मध्ये 	মধ্যে'	ഇടയില്	
out of	 से					মাজৰ পৰা	માંથી 	ରୁ	पासून 	থেকে	ല്‍ നിന്നും	
out	 बाहर					বাহিৰ	બહાર		बाहेर 	বাইরে	പുറത്ത്	
across	में					ওপৰত	સમગ્ર	ରେ	मध्ये 	মধ্যে	കുറുകേ	
apart from	 अलावा					বাহিৰে	સિવાય	ଛଡା	शिवाय 	ছাড়া	ഇതുകൂടാതെ	
on behalf of	 ओर से					ফালৰ পৰা	વતી	 ତରଫ ରୁ	पासून 	তরফে	ഇതിന്റെ പേരിൽ	
towards	 तरफ					তৰফলৈ	તરફ	ଆଡକୁ	पुढे 	দিকে	ഭാഗത്തേക്കു	
in addition to	 साथ					লগতে	સાથે 	କୁ ମିସେଇ କରି	सोबत 	সাথে	ഇതിനുപുറമെ	
opposite	 सामने					সন্মুখত	વિરુદ્ધ	 ଆଗରେ	विरुद्ध 	বিরুদ্ধে	ന്‍റെ മുന്നില്‍ 	
after	 बाद					পাছত	પછી	 ପରେ	नंतर 	পর	ശേഷം	
upon	पर					ওপৰত	ઉપર	ଉପରେ	वर 	উপর	മേൽ	
in order to	 लिए					কাৰণে	અનુસાર	 ଲାଗି	साठी 	জন্য	ഇതിനായി	
in case of	 मामले में					বিষয়ত	એ પરિસ્થિતિ માં	 ବେଳେ	या बाबतीत 	এই ক্ষেত্রে	അത്തരം സാഹചര്യത്തിൽ	
if	अगर					যদি	જો	ଯଦି	जर 	যদি	എങ്കിൽ	
but	लेकिन					কিন্তু	પરંતુ	କିନ୍ତୁ	परंतु 	কিন্তু	പക്ഷേ	
besides	 अलावा					বাহিৰে	ઉપરાંત	କୁ ଛାଡି	शिवाय 	ছাড়া	കൂടാതെ	
throughout	 दौरान					সময়ত	સમગ્ર	କୁ ବେଳେ	दरम्यान 	তা স্বত্তেও	മുഴുവൻ	
astern of	 पीछे					পিচত	અસ્થિ	 ପଛ ରେ	मागे 	এর পিছনে	ന്‍റെ പുറകില്‍ 	
along	 साथ					সৈতে	સાથે	 ସାଙ୍ଗରେ	सोबत 	সাথে	 കൂടെ 	
as per	के अनुसार					অনুসাৰে	આ પ્રમાણે	 ଅନୁଯାଇ	च्या अनुसार 	এই অনুসারে	പ്രകാരം	
abroad	विदेश					বিদেশ	વિદેશમાં	ବିଦେଶ	विदेश 	বিদেশ	വിദേശത്ത്	
in place of	बदले					ঠাইত	તેની જગ્યાએ	 ବଦଳ ରେ	या बदल्यात 	এর স্থানে 	അതിനു പകരമായി	
a	एक					এক	એક 	ଗୋଟେ	एक 	এক	ഒരു	
on	पर					ওপৰত	પર 	ଉପରେ	वर 	উপর	മുകളില്‍	
about	 बारे में					বিষয়ে	વિષયમાં 	 ବିଷୟ ରେ	या विषयात 	সম্বন্ধে	കുറിച്ച്	
off	 दूर					পৰা আতৰত	દૂર 	ରୁ ଦୂର	दूर 	দূরে	അകലെ നിന്ന് 	
unlike	 भिन्न					বিপৰিতে	થી ભિન્ન 	ଠାରୁ ଭିନ୍ନ	वेगळे 	ভিন্ন	നിന്ന് വ്യത്യസ്തമാണ് 	
inside of	 अंदर					ভিতৰত	અંદર	 ଭିତରେ	आत मध्ये 	এর মধ্যে	ന്‍റെ അകത്ത് 	
back to	वापस					উভতি	પાછળ	ପୁଣି ଥରେ	परत 	ফেরত্	തിരിച്ച്	
via	 द्वारा					দ্ৱাৰা	દ્વારા	 ଦ୍ୱାରା	द्वारा 	মাধ্যমে	വഴി	
amid	 बीच					মাজত	વચ્ચે	 ମଝିରେ	मध्ये 	মধ্যে	ന്‍റെ ഇടയില്‍	
worth	 लायक					যোগ্য	યોગ્ય 	 ଯୋଗ୍ୟ	योग्य 	যোগ্য	വിലമതിക്കുന്നു 	
against	 खिलाफ					বিৰুদ্ধে	સામે	 ବିରୁଦ୍ଧ ରେ	विरुद्ध 	বিরুদ্ধে	ന് എതിരാണ്  	
round	 चारों ओर					চাৰিও ফালে	ચારે બાજુ 	ସବୁ ପଟେ	चारी बाजुंना 	চারিদিকে	ചുറ്റും	
without	 बिना					অবিহনে	વગર	 ଛଡା	शिवाय 	ছাড়া	കൂടാതെ 	
plus	और					আৰু	અને 	ଆଉ	अधिक 	অধিক	അധികം 	
aboard	पर					উঠি	પર 	ଉପରେ	वर 	উপর	ല്‍ 	
prior to	 पहले					আগত	પહેલાં	 ପୂର୍ବ ରୁ	पहिले 	পূর্বে	അതിനു മുന്‍പ്	
regardless of	 बावजूद					নিৰ্বিশেষে	તે છતાં 	 ସତ୍ତ୍ୱେ	तरी सुद्धा 	নির্বিশেষে	പരിഗണിക്കാതെ	
onto	पर					ওপৰলৈ	પર	ଉପରେ	वर 	উপর	മുകളിലേക്ക്	
that	कि					যে	કે	ଯେ	की 	যে	അത്	
instead of	 बजाय					পৰিবৰ্ত্তে	બદલે	 ବଦଳ ରେ	त्याऐवजी	পরিবর্তে	അതിനു പകരം	
once	एक बार					এবাৰ	એકવાર	ଗୋଟେ ଥର	एकदा 	একদা	ഒരിക്കല്‍ 	
Suffixes												
PREP_AGENT 	के द्वारा					ৰ দ্ৱাৰা	ના દ્વારા	ର ଦ୍ୱାରା	या द्वारा 	এর দ্বারা	വഴി	
												
OF_ME_SE 	में से					ৰ ভিতৰত	માંથી 	ରୁ 	या मधून 	আমার থেকে	ല്‍ നിന്നും	
												
DEFAULT_TO_SUFFIX	को					ক	ને	କୁ 	ला 	কে	ലേക്ക്	
												
TALK_TO_SUFFIX	से					ৰ লগত	થી	ଠାରୁ 	पासून 	থেকে	നിന്നും	
												
AS_JJ_AS_PREFIX	के जितना					ৰ সমান	હોય તેટલું	ଭଳି 	या इतके 	কে যত	വളരെ	
												
POSSESSIVE_SUFFIX	का					ৰ	ની	ର	चे 	এর	അതിൽ	
